age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml
22-24,Male,India,Bachelors,Software Engineer,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"5,000-7,499",advance,I have never written code
35-39,Male,United States of America,Bachelors,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,< 1 years
30-34,Male,United States of America,Coursework,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",intermediate,5-10 years
18-21,Male,Brazil,Masters,Student,,,,basic,< 1 years
25-29,Male,Russia,Doctoral,Research Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,5-10 years
35-39,Male,United States of America,Masters,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,10-20 years
40-44,Male,Brazil,Masters,Data Scientist,"1000-9,999 employees",I do not know,"3,000-3,999",intermediate,1-2 years
22-24,Other,United States of America,Coursework,Student,,,,advance,1-2 years
60-69,Male,Australia,Coursework,Other,"> 10,000 employees",I do not know,"125,000-149,999",basic,I have never written code
25-29,Female,United Kingdom of Great Britain and Northern Ireland,Masters,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",advance,1-2 years
40-44,Male,United States of America,Bachelors,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,5-10 years
40-44,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,20+ years
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,10-20 years
22-24,Male,India,Masters,Other,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,5-10 years
25-29,Male,United States of America,Bachelors,Data Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,3-5 years
30-34,Male,Brazil,Bachelors,Business Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",intermediate,3-5 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Masters,Statistician,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",advance,5-10 years
22-24,Male,United States of America,Masters,Student,,,,advance,< 1 years
25-29,Male,Ukraine,Masters,Software Engineer,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",basic,1-2 years
25-29,Female,United States of America,Masters,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999",advance,3-5 years
40-44,Other,United States of America,Masters,Data Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,20+ years
50-54,Male,Chile,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,I have never written code
60-69,Male,Australia,Masters,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",advance,20+ years
25-29,Male,United States of America,Doctoral,Research Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,5-10 years
22-24,Female,India,Masters,Student,,,,intermediate,1-2 years
55-59,Male,United States of America,Coursework,DBA/Database Engineer,"> 10,000 employees",I do not know,"200,000-249,999",intermediate,10-20 years
45-49,Male,Poland,Masters,Software Engineer,50-249 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,advance,1-2 years
25-29,Male,India,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"10,000-14,999",basic,1-2 years
18-21,Male,United States of America,Bachelors,Student,,,,advance,< 1 years
35-39,Male,Ukraine,Masters,Software Engineer,50-249 employees,I do not know,"3,000-3,999",advance,I have never written code
45-49,Male,Brazil,Doctoral,Other,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,5-10 years
18-21,Male,Russia,Masters,Student,,,,advance,< 1 years
30-34,Male,Japan,Bachelors,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999",advance,5-10 years
25-29,Male,Germany,Masters,Software Engineer,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,3-5 years
18-21,Male,Russia,Masters,Other,"> 10,000 employees",No (we do not use ML methods),"10,000-14,999",advance,1-2 years
45-49,Male,United States of America,Bachelors,Other,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"300,000-500,000",advance,20+ years
22-24,Male,India,Masters,Student,,,,advance,3-5 years
25-29,Male,"Iran, Islamic Republic of...",Masters,Student,,,,advance,< 1 years
40-44,Male,Ukraine,Masters,Student,,,,advance,1-2 years
25-29,Male,United States of America,Doctoral,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",intermediate,3-5 years
22-24,Male,France,Masters,Student,,,,advance,1-2 years
18-21,Female,United States of America,Bachelors,Student,,,,basic,1-2 years
55-59,Male,United States of America,Masters,Business Analyst,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"250,000-299,999",advance,20+ years
35-39,Female,United States of America,Doctoral,Research Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,3-5 years
22-24,Male,Argentina,Coursework,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",advance,< 1 years
18-21,Male,India,Bachelors,Student,,,,intermediate,< 1 years
50-54,Male,Spain,Masters,Product/Project Manager,250-999 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",basic,1-2 years
30-34,Female,Germany,Masters,Data Analyst,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,3-5 years
30-34,Male,United States of America,Masters,Other,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",basic,10-20 years
35-39,Male,New Zealand,Doctoral,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",intermediate,5-10 years
30-34,Male,Germany,Doctoral,Statistician,"1000-9,999 employees",I do not know,"40,000-49,999",advance,3-5 years
22-24,Female,Indonesia,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",advance,3-5 years
18-21,Male,United States of America,Coursework,Student,,,,advance,3-5 years
25-29,Male,India,Bachelors,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,5-10 years
45-49,Male,United States of America,Doctoral,Research Scientist,0-49 employees,No (we do not use ML methods),"100,000-124,999",advance,1-2 years
25-29,Male,Brazil,Doctoral,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,3-5 years
25-29,Other,India,Bachelors,Other,0-49 employees,I do not know,$0-999,advance,3-5 years
30-34,Female,New Zealand,Doctoral,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years
30-34,Male,Canada,Bachelors,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",advance,3-5 years
35-39,Male,Australia,Masters,Data Analyst,50-249 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",intermediate,3-5 years
25-29,Male,United States of America,Bachelors,Data Analyst,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",basic,< 1 years
22-24,Female,Tunisia,Masters,Software Engineer,0-49 employees,I do not know,$0-999,basic,I have never written code
50-54,Male,United States of America,Doctoral,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,20+ years
25-29,Female,United States of America,Doctoral,Other,"1000-9,999 employees",I do not know,"90,000-99,999",advance,10-20 years
30-34,Male,Turkey,Masters,Product/Project Manager,"> 10,000 employees",I do not know,"3,000-3,999",advance,1-2 years
30-34,Male,Poland,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,5-10 years
25-29,Male,Australia,Bachelors,Statistician,250-999 employees,No (we do not use ML methods),"50,000-59,999",advance,3-5 years
30-34,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,3-5 years
25-29,Male,United States of America,Masters,Data Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,3-5 years
25-29,Male,Netherlands,Bachelors,Student,,,,basic,< 1 years
35-39,Male,Brazil,Bachelors,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",advance,< 1 years
40-44,Male,Italy,Bachelors,Other,250-999 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",advance,5-10 years
25-29,Male,United States of America,Masters,Business Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,< 1 years
45-49,Female,Argentina,Doctoral,Research Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",advance,20+ years
22-24,Male,Ukraine,Masters,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,1-2 years
35-39,Male,France,Masters,Software Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,10-20 years
30-34,Male,Canada,Bachelors,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years
22-24,Male,Russia,Coursework,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"10,000-14,999",advance,3-5 years
35-39,Female,Mexico,Bachelors,Student,,,,basic,5-10 years
22-24,Male,Morocco,Doctoral,Research Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"1,000-1,999",advance,< 1 years
25-29,Male,Argentina,Bachelors,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,3-5 years
25-29,Male,Czech Republic,Coursework,Software Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,10-20 years
35-39,Male,Poland,Masters,Business Analyst,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",intermediate,< 1 years
22-24,Male,Mexico,Bachelors,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,3-5 years
35-39,Male,Canada,Masters,Data Analyst,"1000-9,999 employees",No (we do not use ML methods),"50,000-59,999",intermediate,1-2 years
35-39,Female,United States of America,Doctoral,Research Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,5-10 years
35-39,Male,Greece,Masters,Student,,,,advance,I have never written code
60-69,Female,United States of America,Masters,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",advance,20+ years
45-49,Male,United States of America,Masters,Product/Project Manager,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"200,000-249,999",advance,5-10 years
22-24,Male,"Iran, Islamic Republic of...",Bachelors,Student,,,,advance,1-2 years
30-34,Male,Ukraine,Masters,Software Engineer,250-999 employees,No (we do not use ML methods),"2,000-2,999",basic,< 1 years
50-54,Female,United States of America,Masters,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,5-10 years
22-24,Male,Russia,Masters,Student,,,,advance,< 1 years
22-24,Male,India,Bachelors,Student,,,,advance,1-2 years
22-24,Male,India,Masters,Student,,,,basic,< 1 years
55-59,Male,Other,Masters,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",intermediate,20+ years
40-44,Other,United States of America,Doctoral,Other,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,5-10 years
40-44,Male,Australia,Bachelors,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"90,000-99,999",intermediate,I have never written code
30-34,Female,Australia,Masters,Data Scientist,"1000-9,999 employees",No (we do not use ML methods),"60,000-69,999",advance,5-10 years
45-49,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","> $500,000",intermediate,10-20 years
35-39,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years
35-39,Male,New Zealand,Masters,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,3-5 years
45-49,Male,Chile,Coursework,Data Engineer,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",advance,1-2 years
35-39,Male,Italy,Doctoral,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,1-2 years
35-39,Male,Japan,Masters,Data Engineer,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",intermediate,3-5 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,1-2 years
25-29,Male,Ireland,Masters,Student,,,,advance,I have never written code
40-44,Male,Germany,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,5-10 years
25-29,Female,Germany,Doctoral,Student,,,,advance,1-2 years
25-29,Male,Other,Masters,Software Engineer,50-249 employees,No (we do not use ML methods),"15,000-19,999",advance,< 1 years
22-24,Female,Ukraine,Bachelors,Product/Project Manager,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",intermediate,< 1 years
25-29,Male,Brazil,Doctoral,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,3-5 years
30-34,Female,Chile,Masters,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",advance,3-5 years
35-39,Male,South Korea,Doctoral,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,10-20 years
35-39,Male,Egypt,Coursework,Research Scientist,0-49 employees,No (we do not use ML methods),"4,000-4,999",advance,< 1 years
35-39,Female,Colombia,Coursework,Data Analyst,250-999 employees,No (we do not use ML methods),$0-999,basic,I have never written code
25-29,Male,Brazil,Bachelors,Software Engineer,50-249 employees,No (we do not use ML methods),"15,000-19,999",advance,1-2 years
50-54,Other,Brazil,Doctoral,Research Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,basic,1-2 years
18-21,Female,India,Masters,Student,,,,advance,< 1 years
25-29,Male,Russia,Coursework,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"25,000-29,999",advance,3-5 years
18-21,Male,United States of America,Coursework,Student,,,,basic,I have never written code
45-49,Male,Netherlands,Masters,Data Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",advance,3-5 years
40-44,Male,United States of America,Masters,Software Engineer,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,20+ years
22-24,Male,Spain,Masters,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,1-2 years
30-34,Male,Germany,Doctoral,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"150,000-199,999",advance,10-20 years
25-29,Male,United States of America,Masters,Data Analyst,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",intermediate,3-5 years
25-29,Male,Belgium,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,1-2 years
30-34,Male,Brazil,Masters,Data Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,< 1 years
22-24,Male,Italy,Bachelors,Student,,,,advance,1-2 years
25-29,Male,United States of America,Masters,Business Analyst,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",intermediate,< 1 years
40-44,Male,Australia,Bachelors,Product/Project Manager,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,1-2 years
25-29,Male,Other,Masters,Student,,,,advance,3-5 years
70+,Male,Brazil,Masters,Data Scientist,0-49 employees,No (we do not use ML methods),"10,000-14,999",advance,20+ years
30-34,Male,Norway,Coursework,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,10-20 years
22-24,Male,Austria,Masters,Student,,,,intermediate,< 1 years
30-34,Male,United States of America,Bachelors,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,5-10 years
30-34,Male,Mexico,Doctoral,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"30,000-39,999",advance,5-10 years
40-44,Male,Germany,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,10-20 years
18-21,Male,India,Bachelors,Student,,,,intermediate,< 1 years
40-44,Female,Germany,Masters,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",advance,3-5 years
35-39,Female,United States of America,Bachelors,Student,,,,advance,5-10 years
22-24,Male,Tunisia,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,1-2 years
35-39,Male,Japan,Doctoral,Research Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",advance,1-2 years
25-29,Male,Belarus,Coursework,Software Engineer,250-999 employees,No (we do not use ML methods),"3,000-3,999",intermediate,5-10 years
35-39,Male,Viet Nam,Doctoral,Student,,,,advance,< 1 years
50-54,Male,Canada,Coursework,Student,,,,basic,10-20 years
30-34,Male,United States of America,Masters,Student,,,,intermediate,< 1 years
35-39,Male,Brazil,Coursework,Software Engineer,"1000-9,999 employees",I do not know,"20,000-24,999",basic,< 1 years
40-44,Male,Spain,Bachelors,Product/Project Manager,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",intermediate,1-2 years
35-39,Male,Germany,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years
22-24,Female,United States of America,Masters,Student,,,,basic,< 1 years
35-39,Male,United States of America,Masters,Data Analyst,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",intermediate,3-5 years
18-21,Male,India,Coursework,Student,,,,advance,< 1 years
25-29,Male,United States of America,Coursework,Other,0-49 employees,I do not know,$0-999,basic,20+ years
45-49,Male,United States of America,Masters,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"150,000-199,999",intermediate,20+ years
40-44,Male,United States of America,Coursework,Other,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"150,000-199,999",intermediate,3-5 years
40-44,Male,South Africa,Coursework,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years
30-34,Male,Turkey,Masters,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",advance,5-10 years
50-54,Male,United States of America,Doctoral,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",intermediate,3-5 years
35-39,Female,Other,Masters,Research Scientist,0-49 employees,No (we do not use ML methods),"2,000-2,999",advance,3-5 years
30-34,Other,United States of America,Doctoral,Other,250-999 employees,No (we do not use ML methods),"60,000-69,999",advance,5-10 years
60-69,Male,United States of America,Doctoral,Other,50-249 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,20+ years
30-34,Male,India,Masters,Data Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","4,000-4,999",basic,< 1 years
35-39,Male,Romania,Bachelors,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,1-2 years
50-54,Female,Nigeria,Doctoral,Research Scientist,250-999 employees,No (we do not use ML methods),$0-999,intermediate,3-5 years
55-59,Male,United States of America,Doctoral,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,20+ years
25-29,Female,Germany,Masters,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,< 1 years
35-39,Female,United Kingdom of Great Britain and Northern Ireland,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,10-20 years
40-44,Male,Germany,Masters,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,10-20 years
30-34,Male,Australia,Bachelors,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",advance,1-2 years
35-39,Male,Portugal,Masters,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",advance,10-20 years
22-24,Female,Other,Masters,Software Engineer,50-249 employees,I do not know,"5,000-7,499",advance,< 1 years
25-29,Male,Hungary,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,5-10 years
55-59,Male,United States of America,Masters,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,20+ years
25-29,Male,United States of America,Masters,Student,,,,advance,< 1 years
35-39,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,3-5 years
25-29,Male,Germany,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),"2,000-2,999",basic,5-10 years
35-39,Male,Turkey,Bachelors,Data Analyst,0-49 employees,No (we do not use ML methods),$0-999,basic,1-2 years
22-24,Male,India,Bachelors,Data Analyst,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",basic,3-5 years
35-39,Male,Australia,Doctoral,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,10-20 years
22-24,Male,Egypt,Bachelors,Student,,,,advance,< 1 years
30-34,Male,Argentina,Masters,Data Analyst,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"3,000-3,999",basic,1-2 years
25-29,Female,United States of America,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,3-5 years
35-39,Male,United States of America,Bachelors,Product/Project Manager,50-249 employees,No (we do not use ML methods),"70,000-79,999",advance,< 1 years
50-54,Male,United States of America,Masters,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",basic,I have never written code
35-39,Male,Australia,Bachelors,Product/Project Manager,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",basic,5-10 years
22-24,Male,Romania,Masters,Student,,,,advance,< 1 years
25-29,Male,Nigeria,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,< 1 years
25-29,Male,Russia,Doctoral,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,< 1 years
25-29,Female,India,Masters,Student,,,,advance,1-2 years
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years
30-34,Male,Other,Masters,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",intermediate,5-10 years
30-34,Male,Spain,Masters,Research Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",basic,< 1 years
22-24,Male,Japan,Bachelors,Student,,,,advance,3-5 years
35-39,Male,Portugal,Coursework,Product/Project Manager,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,3-5 years
45-49,Male,Morocco,Masters,Data Scientist,"1000-9,999 employees",No (we do not use ML methods),"1,000-1,999",basic,1-2 years
50-54,Male,India,Bachelors,Research Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",intermediate,1-2 years
40-44,Male,Australia,Masters,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",intermediate,10-20 years
40-44,Male,Australia,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,3-5 years
30-34,Male,United States of America,Masters,Business Analyst,0-49 employees,No (we do not use ML methods),"70,000-79,999",intermediate,< 1 years
40-44,Male,Germany,Doctoral,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,10-20 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Masters,Student,,,,basic,1-2 years
35-39,Male,Turkey,Doctoral,Research Scientist,0-49 employees,No (we do not use ML methods),"30,000-39,999",intermediate,5-10 years
50-54,Male,United States of America,Bachelors,Data Engineer,0-49 employees,No (we do not use ML methods),"100,000-124,999",basic,10-20 years
25-29,Male,United States of America,Bachelors,Data Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",intermediate,< 1 years
25-29,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",intermediate,3-5 years
18-21,Male,India,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),$0-999,basic,< 1 years
25-29,Male,United States of America,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,3-5 years
45-49,Male,United States of America,Masters,Product/Project Manager,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999",advance,5-10 years
25-29,Male,Australia,Bachelors,Other,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",intermediate,1-2 years
25-29,Male,India,Masters,Business Analyst,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",basic,1-2 years
18-21,Female,Japan,Coursework,Student,,,,basic,< 1 years
25-29,Male,India,Bachelors,Other,"> 10,000 employees",I do not know,"10,000-14,999",basic,I have never written code
35-39,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",basic,< 1 years
70+,Male,United States of America,Doctoral,Statistician,0-49 employees,No (we do not use ML methods),"60,000-69,999",advance,20+ years
30-34,Male,Canada,Doctoral,Student,,,,advance,5-10 years
40-44,Male,United States of America,Masters,Other,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","200,000-249,999",basic,10-20 years
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Masters,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",basic,1-2 years
40-44,Male,Other,Bachelors,Data Scientist,50-249 employees,No (we do not use ML methods),"5,000-7,499",intermediate,< 1 years
35-39,Male,United States of America,Coursework,Other,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"150,000-199,999",intermediate,3-5 years
60-69,Male,Netherlands,Masters,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",intermediate,20+ years
50-54,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",advance,20+ years
